symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,entry_hist_z,entry_vel_z,entry_accel,entry_velocity,entry_volatility_pct,exit_accel,exit_vel,exit_jerk
MEOH,2026-03-31,13:30:00,13:30:30,62.08,61.76,-0.5154639175257737,1.6672036082474286,2.182667525773202,-6.330541237113402,1.6672036082474286,270,STOP_LOSS,0.0,0.0,0.0,42.95830000000155,0.1,0.8519125364432263,-9.009781341108113,2.271234985422698
MEOH,2026-03-31,15:34:50,15:45:50,61.08,60.81,-0.44204322200392276,0.9495743287491787,1.3916175507531015,-4.7969875573018985,0.9495743287491787,3360,STOP_LOSS,10.037268239503957,10.466349491892643,49.4471849090618,49.82583772734084,0.17629956579906225,0.20994361459017274,-0.5948590364754243,-0.09897744583606616
BCYC,2026-03-31,15:00:40,15:27:40,4.63,4.58,-1.0799136069114432,1.5118790496760321,2.5917926565874754,-1.7278617710583168,1.5118790496760321,5580,STOP_LOSS,13.257062558801527,13.278217472186817,62.19901650771901,61.45245873069784,0.36101462666034867,-0.9322997313429933,-0.739250671642574,-1.0830801074628342
BCYC,2026-03-31,15:54:40,16:00:10,4.57,4.55,-0.43763676148797503,2.84463894967177,3.2822757111597447,-0.43763676148797503,2.84463894967177,3630,STOP_LOSS,11.912872096241033,11.76713388389046,5.406948566585131,5.379128583537244,0.11221206095653714,-0.8588369689818873,-0.852907577545395,-0.8564652124072905
BCYC,2026-03-31,16:59:50,19:42:10,4.66,4.62,-0.858369098712447,-0.214592274678107,0.64377682403434,-0.858369098712447,0.0,0,STOP_LOSS,11.973042932329603,11.886606215492868,28.095991645998637,29.76002088500127,0.28732476666958734,-0.3139937516722468,-0.21501562081936165,-0.27440249933109273
TSLA,2026-03-31,13:30:00,13:33:50,362.36,364.5739,0.6109669941494555,0.6398609118004204,0.02889391765096483,0.34220112595209434,0.0,0,TARGET,0.0,0.0,0.0,26974.88790000162,0.1,-186.8306601250211,-60.045449687612575,-313.4787759500829
AAPL,2026-03-31,13:30:00,13:31:40,247.9,248.4229,0.21093182734973492,0.3734570391286733,0.16252521177893836,-0.09479628882614508,0.0,0,TRAILING_STOP,0.0,0.0,0.0,30162.952400004055,0.1,185.28011988627645,-413.506699715693,-24.87864795452083
GOOGL,2026-03-31,13:30:00,13:44:00,278.2996,277.54,-0.2729432597100311,-0.14002894722091042,0.13291431248912067,-0.4166732542914225,0.0,0,STOP_LOSS,0.0,0.0,0.0,18935.260499994492,0.1,59.51387211885131,-3.809080297267961,142.92649115231282
PLTR,2026-03-31,13:30:00,13:31:20,139.405,140.245,0.6025608837559653,0.9894193178149999,0.38685843405903464,-0.27617373838814313,0.0,0,TARGET,0.0,0.0,0.0,2562.4818000043206,0.1,230.89744564073425,4.124085898111243,315.86382174365116
MEOH,2026-03-30,19:00:10,19:05:30,62.9966,62.49,-0.8041703837984889,-0.10683116231670126,0.6973392214817877,-1.49468384008026,0.0,0,STOP_LOSS,11.212571742346588,11.184911512638307,50.187738627930074,51.919553430168655,0.13785937658533223,-6.841769940456101,-7.306275148859575,-5.796132023817535
AMZN,2026-03-30,13:30:00,13:32:10,200.82,201.935,0.55522358330844,0.7369783886067216,0.18175480529828159,0.2962852305547251,0.0,0,TARGET,0.0,0.0,0.0,284115.247499993,0.1,591.6003048739567,-1411.3107621848894,-204.83276194958762
META,2026-03-30,13:30:00,13:30:40,532.46,535.2,0.5145926454569374,0.8310483416594587,0.31645569620252134,-0.09672088044172075,0.0,0,TARGET,0.0,0.0,0.0,523447.73620001774,0.1,21979.580817410257,-54055.72594352532,-8473.086486963963
GOOGL,2026-03-30,13:30:00,13:30:10,276.72,275.63,-0.3938999710899218,0.0960537727666797,0.4899537438566015,-0.8311650766117414,0.0960537727666797,50,STOP_LOSS,0.0,0.0,0.0,185784.28600002135,0.1,0.0,-50681.10671429164,0.0
MEOH,2026-03-27,14:35:30,14:41:10,63.89,63.5101,-0.594615745813115,2.457348567850983,3.051964313664098,-1.4086711535451535,2.457348567850983,17890,STOP_LOSS,11.375309796138525,11.612914057387533,286.6699891922646,284.7000270193171,0.2328915862116345,0.42288938096279016,0.059576547593079066,1.4043642476149314
MEOH,2026-03-27,15:20:30,15:37:10,63.745,64.24,0.7765314926660875,2.69040709075221,1.9138755980861228,-0.0705937720605453,0.0,0,TARGET,11.376890098514949,11.581415649152545,84.60366909221072,83.89402726944765,0.15454061642280154,0.9989259573292455,1.7714851066746813,-0.6446503829329733
