symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,ml_entry_prob,ml_crash_prob
BCYC,2026-04-01,17:10:10,17:11:20,5.1,5.09,-0.19607843137254485,-0.06862745098038896,0.1274509803921559,-4.5098039215686185,0.0,0,ML_CRASH_DETECTED,0.6251697141482024,0.8318726097382915
BCYC,2026-04-01,17:13:20,17:14:50,5.0963,5.09,-0.12361909620706034,-0.07652610717580756,0.04709298903125278,-4.440476424072369,0.0,0,ML_CRASH_DETECTED,0.4197751362614318,0.372526359485063
BCYC,2026-04-01,17:20:20,17:20:50,5.085,5.085,0.0,0.09832841691248562,0.09832841691248562,-4.228121927236969,0.09832841691248562,740,ML_CRASH_DETECTED,0.40955189530530756,0.20134613132176077
BCYC,2026-04-01,17:24:20,17:25:10,5.08,5.08,0.0,0.1968503937007832,0.1968503937007832,-4.133858267716534,0.1968503937007832,480,ML_CRASH_DETECTED,0.541077432752031,0.22618487063470633
BCYC,2026-04-01,17:26:30,17:27:20,5.08,5.08,0.0,0.1968503937007832,0.1968503937007832,-4.133858267716534,0.1968503937007832,350,ML_CRASH_DETECTED,0.8741291121785786,0.2354939292962183
BCYC,2026-04-01,17:30:50,17:31:10,5.06,5.0682,0.16205533596838792,0.5928853754940762,0.4308300395256882,-3.754940711462441,0.5928853754940762,120,ML_CRASH_DETECTED,0.5723721741337783,0.570074937130308
BCYC,2026-04-01,17:39:00,17:39:10,5.055,5.0776,0.4470820969337413,0.6923837784371938,0.2453016815034525,-3.659742828882287,0.6923837784371938,400,ML_CRASH_DETECTED,0.5573437911362131,0.6687963675527726
BCYC,2026-04-01,17:54:20,17:54:30,5.04,5.03,-0.19841269841269418,0.4563492063492001,0.6547619047618943,-3.3730158730158712,0.4563492063492001,30,ML_CRASH_DETECTED,0.44435755994268766,0.31460494582926424
BCYC,2026-04-01,17:54:40,17:54:50,5.03,5.03,0.0,0.656063618290248,0.656063618290248,-3.1809145129224676,0.656063618290248,10,ML_CRASH_DETECTED,0.44236270663552335,0.4170634092861751
BCYC,2026-04-01,17:55:50,17:56:30,4.99,5.0,0.20040080160320214,0.20040080160320214,0.0,-2.404809619238479,0.20040080160320214,0,ML_CRASH_DETECTED,0.797141623386856,0.5303348967251211
